statement,original_label,binary_label,true_id,predicted_id,predicted_label,prob_fake,prob_real,confidence,correct,error_type,token_length
Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,false,FAKE,0,1,REAL,0.3244483470916748,0.6755515933036804,0.6755515933036804,False,FAKE_TO_REAL,26
The United States has a low voter turnout rate.,true,REAL,1,0,FAKE,0.6754876971244812,0.3245123326778412,0.6754876971244812,False,REAL_TO_FAKE,12
"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",mostly-true,REAL,1,0,FAKE,0.7162688970565796,0.2837311327457428,0.7162688970565796,False,REAL_TO_FAKE,33
"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",true,REAL,1,0,FAKE,0.9158715009689331,0.08412856608629227,0.9158715009689331,False,REAL_TO_FAKE,34
Says he won the second debate with Hillary Clinton in a landslide in every poll.,pants-fire,FAKE,0,1,REAL,0.2553201913833618,0.7446798086166382,0.7446798086166382,False,FAKE_TO_REAL,18
"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",false,FAKE,0,1,REAL,0.21482619643211365,0.7851738333702087,0.7851738333702087,False,FAKE_TO_REAL,31
Says Charlie Crist voted against raising the minimum wage.,half-true,FAKE,0,1,REAL,0.2725507318973541,0.7274492383003235,0.7274492383003235,False,FAKE_TO_REAL,13
"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.",half-true,FAKE,0,1,REAL,0.07784947007894516,0.9221505522727966,0.9221505522727966,False,FAKE_TO_REAL,45
When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,false,FAKE,0,1,REAL,0.33747997879981995,0.6625200510025024,0.6625200510025024,False,FAKE_TO_REAL,31
Says Gov. Chris Christie cut spending (by) $1 billion and provided $850 million in new education funding.,half-true,FAKE,0,1,REAL,0.4660724699497223,0.5339276194572449,0.5339276194572449,False,FAKE_TO_REAL,25
Hes the only candidate whos balanced budgets and brought jobs to Providence.,mostly-true,REAL,1,0,FAKE,0.9791755676269531,0.020824462175369263,0.9791755676269531,False,REAL_TO_FAKE,17
Sixty percent of the Hispanics support the Arizona immigration law,pants-fire,FAKE,0,1,REAL,0.22980144619941711,0.7701985239982605,0.7701985239982605,False,FAKE_TO_REAL,13
Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,mostly-true,REAL,1,0,FAKE,0.9200610518455505,0.07993895560503006,0.9200610518455505,False,REAL_TO_FAKE,20
"Across the country, $174 billion of the Recovery Act have been committed in its first 130 days.",mostly-true,REAL,1,0,FAKE,0.8970791697502136,0.10292083770036697,0.8970791697502136,False,REAL_TO_FAKE,22
"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.",half-true,FAKE,0,1,REAL,0.08327504247426987,0.9167249202728271,0.9167249202728271,False,FAKE_TO_REAL,37
"Says Donald Trump has said he loves war, including with nukes.",half-true,FAKE,0,1,REAL,0.11536700278520584,0.8846330642700195,0.8846330642700195,False,FAKE_TO_REAL,16
Proximity to high-voltage power lines lowers property values by as much as 30 percent.,half-true,FAKE,0,1,REAL,0.15024663507938385,0.8497533798217773,0.8497533798217773,False,FAKE_TO_REAL,19
1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,half-true,FAKE,0,1,REAL,0.017184672877192497,0.9828153252601624,0.9828153252601624,False,FAKE_TO_REAL,29
The Texas Department of Transportation... misplaced a billion dollars.,mostly-true,REAL,1,0,FAKE,0.940096378326416,0.059903595596551895,0.940096378326416,False,REAL_TO_FAKE,16
"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",true,REAL,1,0,FAKE,0.965381383895874,0.03461866453289986,0.965381383895874,False,REAL_TO_FAKE,22
"Mitch McConnell opposed ""legislation to create and protect Kentucky jobs . . . help for the unemployed. . . health care for Kentucky's children,"" and ""fair pay for women.""",barely-true,FAKE,0,1,REAL,0.3324926793575287,0.6675074100494385,0.6675074100494385,False,FAKE_TO_REAL,40
"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",true,REAL,1,0,FAKE,0.9845770001411438,0.015422987751662731,0.9845770001411438,False,REAL_TO_FAKE,17
Taxpayers subsidize 80 percent of each MARTA trip,barely-true,FAKE,0,1,REAL,0.10783257335424423,0.8921674489974976,0.8921674489974976,False,FAKE_TO_REAL,13
Half of children struck by cars near schools are hit by parents driving children to school.,false,FAKE,0,1,REAL,0.29456600546836853,0.7054340243339539,0.7054340243339539,False,FAKE_TO_REAL,19
"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.",barely-true,FAKE,0,1,REAL,0.32530078291893005,0.6746991872787476,0.6746991872787476,False,FAKE_TO_REAL,24
Putting three Republicans in my Cabinet...is unprecedented.,true,REAL,1,0,FAKE,0.7515951991081238,0.248404860496521,0.7515951991081238,False,REAL_TO_FAKE,14
"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.",true,REAL,1,0,FAKE,0.8711418509483337,0.12885811924934387,0.8711418509483337,False,REAL_TO_FAKE,28
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",pants-fire,FAKE,0,1,REAL,0.44565877318382263,0.554341197013855,0.554341197013855,False,FAKE_TO_REAL,22
Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,true,REAL,1,0,FAKE,0.8095846176147461,0.1904154270887375,0.8095846176147461,False,REAL_TO_FAKE,29
"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",true,REAL,1,0,FAKE,0.9685242176055908,0.03147577866911888,0.9685242176055908,False,REAL_TO_FAKE,34
"Says U.S. Sen. Ron Johnson led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225,000 from polluters.",mostly-true,REAL,1,0,FAKE,0.8706892132759094,0.12931077182292938,0.8706892132759094,False,REAL_TO_FAKE,37
Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,true,REAL,1,0,FAKE,0.7321959137916565,0.2678041160106659,0.7321959137916565,False,REAL_TO_FAKE,19
More (student-athletes) graduate than the students who arent student-athletes.,half-true,FAKE,0,1,REAL,0.05697989463806152,0.9430201053619385,0.9430201053619385,False,FAKE_TO_REAL,19
Says Mitt Romney flip-flopped on an assault weapons ban.,half-true,FAKE,0,1,REAL,0.06644220650196075,0.9335578083992004,0.9335578083992004,False,FAKE_TO_REAL,15
Wisconsin is dead last in the Midwest for job creation.,mostly-true,REAL,1,0,FAKE,0.8831964731216431,0.11680353432893753,0.8831964731216431,False,REAL_TO_FAKE,13
"Says President Barack Obama has taken 92 days of vacation since he was sworn in, compared to 367 for President George W. Bush at the same point in his presidency.",mostly-true,REAL,1,0,FAKE,0.8275410532951355,0.17245902121067047,0.8275410532951355,False,REAL_TO_FAKE,36
Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,true,REAL,1,0,FAKE,0.7083877325057983,0.2916122376918793,0.7083877325057983,False,REAL_TO_FAKE,19
Says Bill Nelson voted 98 percent of the time with Barack Obama.,mostly-true,REAL,1,0,FAKE,0.7568694949150085,0.24313051998615265,0.7568694949150085,False,REAL_TO_FAKE,15
"Says NFL Commissioner Roger Goodell interviewed domestic abuse victim Janay Rice with Ray Rice present and for every domestic violence agency, every law enforcement agency, thats a no-no.",mostly-true,REAL,1,0,FAKE,0.8392485976219177,0.1607513725757599,0.8392485976219177,False,REAL_TO_FAKE,38
"The sex-offender registry has been around for a long time, and the research thats out there says that it has no positive impact on the public safety.",mostly-true,REAL,1,0,FAKE,0.9606909155845642,0.03930910676717758,0.9606909155845642,False,REAL_TO_FAKE,34
"Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess.",mostly-true,REAL,1,0,FAKE,0.7202814221382141,0.2797185480594635,0.7202814221382141,False,REAL_TO_FAKE,26
Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.,half-true,FAKE,0,1,REAL,0.11415431648492813,0.8858457207679749,0.8858457207679749,False,FAKE_TO_REAL,21
About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,half-true,FAKE,0,1,REAL,0.4953066110610962,0.5046933889389038,0.5046933889389038,False,FAKE_TO_REAL,25
The United States has the longest surviving constitution.,mostly-true,REAL,1,0,FAKE,0.5324599742889404,0.46754005551338196,0.5324599742889404,False,REAL_TO_FAKE,11
"Says, In Oregon in 2010, 49 percent of all pregnancies were unintended.",mostly-true,REAL,1,0,FAKE,0.9329504370689392,0.06704960763454437,0.9329504370689392,False,REAL_TO_FAKE,21
Austin school district teachers are the lowest paid of any urban Texas district and the lowest paid of any surrounding school district.,half-true,FAKE,0,1,REAL,0.3095860183238983,0.6904140710830688,0.6904140710830688,False,FAKE_TO_REAL,25
Says Clackamas County has more urban renewal debt than all the other Oregon counties combined.,half-true,FAKE,0,1,REAL,0.08027147501707077,0.9197284579277039,0.9197284579277039,False,FAKE_TO_REAL,21
There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.,false,FAKE,0,1,REAL,0.30336233973503113,0.6966376900672913,0.6966376900672913,False,FAKE_TO_REAL,30
"Mark Herring voted to allow sex offenders, including rapists, to serve shorter sentences.",barely-true,FAKE,0,1,REAL,0.290776789188385,0.709223210811615,0.709223210811615,False,FAKE_TO_REAL,19
Says states mandated tests come from an English company.,mostly-true,REAL,1,0,FAKE,0.9404289126396179,0.05957111343741417,0.9404289126396179,False,REAL_TO_FAKE,12
"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",barely-true,FAKE,0,1,REAL,0.016130896285176277,0.9838691353797913,0.9838691353797913,False,FAKE_TO_REAL,39
"Insured Floridians pay about $2,000 for every hospital stay to cover the cost of the uninsured.",half-true,FAKE,0,1,REAL,0.3062364459037781,0.6937636137008667,0.6937636137008667,False,FAKE_TO_REAL,28
Sixteen million jobs were created under Ronald Reagans presidency.,true,REAL,1,0,FAKE,0.8979542851448059,0.1020456999540329,0.8979542851448059,False,REAL_TO_FAKE,13
This would be the largest casino in the United States.,pants-fire,FAKE,0,1,REAL,0.4489278197288513,0.5510722398757935,0.5510722398757935,False,FAKE_TO_REAL,13
Barack Obama ... 96 percent of his votes have been solely along party line.,true,REAL,1,0,FAKE,0.7815173268318176,0.21848265826702118,0.7815173268318176,False,REAL_TO_FAKE,19
Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.,true,REAL,1,0,FAKE,0.9741001725196838,0.025899779051542282,0.9741001725196838,False,REAL_TO_FAKE,24
Eighty-five percent of the states in the United States that had electrocution have now abolished it.,mostly-true,REAL,1,0,FAKE,0.5523794889450073,0.4476205110549927,0.5523794889450073,False,REAL_TO_FAKE,23
"Says that each year, about 25,000 American women become pregnant through rape or incest.",half-true,FAKE,0,1,REAL,0.18987998366355896,0.8101199865341187,0.8101199865341187,False,FAKE_TO_REAL,21
"Bill Nelson leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $43,000 in taxes just last year.",half-true,FAKE,0,1,REAL,0.098393514752388,0.9016065001487732,0.9016065001487732,False,FAKE_TO_REAL,33
Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.,mostly-true,REAL,1,0,FAKE,0.8366161584854126,0.1633838713169098,0.8366161584854126,False,REAL_TO_FAKE,30
"Since the first of the year, 153 businesses at last count had moved out of California to Texas.",half-true,FAKE,0,1,REAL,0.14047843217849731,0.8595215678215027,0.8595215678215027,False,FAKE_TO_REAL,22
"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",false,FAKE,0,1,REAL,0.190174862742424,0.80982506275177,0.80982506275177,False,FAKE_TO_REAL,36
Says Rick Perry recently said he wanted another (Texas) business tax.,pants-fire,FAKE,0,1,REAL,0.4011290371417999,0.5988710522651672,0.5988710522651672,False,FAKE_TO_REAL,16
"Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.",false,FAKE,0,1,REAL,0.4520825147628784,0.5479174256324768,0.5479174256324768,False,FAKE_TO_REAL,33
Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,pants-fire,FAKE,0,1,REAL,0.39602336287498474,0.6039766669273376,0.6039766669273376,False,FAKE_TO_REAL,24
"Says 315,000 mostly minority Texas students are enrolled in failing schools.",mostly-true,REAL,1,0,FAKE,0.981270432472229,0.01872960478067398,0.981270432472229,False,REAL_TO_FAKE,16
...Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told. And Tammy Duckworth voted yes (on the Iran nuclear deal).,barely-true,FAKE,0,1,REAL,0.36757558584213257,0.6324244141578674,0.6324244141578674,False,FAKE_TO_REAL,36
One in every three women has an abortion during her lifetime.,half-true,FAKE,0,1,REAL,0.47070738673210144,0.529292643070221,0.529292643070221,False,FAKE_TO_REAL,14
I said no to these big bank bailouts.,true,REAL,1,0,FAKE,0.9848679900169373,0.015132050961256027,0.9848679900169373,False,REAL_TO_FAKE,12
Property taxes have increased 20 percent under four years of Chris Christie.,mostly-true,REAL,1,0,FAKE,0.9041248559951782,0.09587513655424118,0.9041248559951782,False,REAL_TO_FAKE,15
"When it comes to income taxes, Wisconsin is one of the best places in the country to be poor but top 4 or 5 worst for middle-income earners.",mostly-true,REAL,1,0,FAKE,0.8400757312774658,0.15992432832717896,0.8400757312774658,False,REAL_TO_FAKE,35
ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.,false,FAKE,0,1,REAL,0.10187333077192307,0.8981266617774963,0.8981266617774963,False,FAKE_TO_REAL,29
"Over 10 years, (extending tax cuts for the wealthy) would add less to the deficit than Obama added with the stimulus in one year.",barely-true,FAKE,0,1,REAL,0.11709927767515182,0.8829007744789124,0.8829007744789124,False,FAKE_TO_REAL,30
Gov. Rick Scott backed the federal shutdown.,barely-true,FAKE,0,1,REAL,0.3505606949329376,0.64943927526474,0.64943927526474,False,FAKE_TO_REAL,12
"Says in 2003 Texas cut $10 billion out of the entire budget, yet we put $1.8 billion more into public education. We put $800 million more into health and human services.",barely-true,FAKE,0,1,REAL,0.48595383763313293,0.5140461921691895,0.5140461921691895,False,FAKE_TO_REAL,41
"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.",mostly-true,REAL,1,0,FAKE,0.868121862411499,0.13187813758850098,0.868121862411499,False,REAL_TO_FAKE,28
Wages adjusted for inflation havent risen since the turn of the last century.,half-true,FAKE,0,1,REAL,0.26228222250938416,0.7377177476882935,0.7377177476882935,False,FAKE_TO_REAL,17
Obama said he would unilaterally renegotiate the North American Free Trade Agreement.,mostly-true,REAL,1,0,FAKE,0.8897576928138733,0.1102423295378685,0.8897576928138733,False,REAL_TO_FAKE,21
Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,false,FAKE,0,1,REAL,0.043820906430482864,0.9561790823936462,0.9561790823936462,False,FAKE_TO_REAL,40
"It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.",true,REAL,1,0,FAKE,0.5061678290367126,0.49383220076560974,0.5061678290367126,False,REAL_TO_FAKE,31
"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.'",false,FAKE,0,1,REAL,0.20804893970489502,0.7919510006904602,0.7919510006904602,False,FAKE_TO_REAL,28
On federal stimulus money for expanding rail service.,true,REAL,1,0,FAKE,0.9766938090324402,0.02330620400607586,0.9766938090324402,False,REAL_TO_FAKE,11
Georgia loses millions of dollars of revenue because people go out of state to buy fireworks.,mostly-true,REAL,1,0,FAKE,0.8780500292778015,0.12195002287626266,0.8780500292778015,False,REAL_TO_FAKE,19
"Says that in 2015, illegal immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes.",true,REAL,1,0,FAKE,0.6032495498657227,0.39675042033195496,0.6032495498657227,False,REAL_TO_FAKE,35
"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.",mostly-true,REAL,1,0,FAKE,0.9884688258171082,0.01153113879263401,0.9884688258171082,False,REAL_TO_FAKE,37
Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician.,half-true,FAKE,0,1,REAL,0.31019166111946106,0.6898083090782166,0.6898083090782166,False,FAKE_TO_REAL,25
"Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.",false,FAKE,0,1,REAL,0.04263423755764961,0.9573657512664795,0.9573657512664795,False,FAKE_TO_REAL,29
"The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.",barely-true,FAKE,0,1,REAL,0.033071085810661316,0.9669288992881775,0.9669288992881775,False,FAKE_TO_REAL,30
It is already in the law that there is a requirement to screen (refugees) for religion.,mostly-true,REAL,1,0,FAKE,0.6389691233634949,0.36103081703186035,0.6389691233634949,False,REAL_TO_FAKE,21
"I did very well with young people in Ohio, Massachusetts, California.",half-true,FAKE,0,1,REAL,0.4219818413257599,0.5780181288719177,0.5780181288719177,False,FAKE_TO_REAL,16
"McCain ""has opposed stem cell research.""",false,FAKE,0,1,REAL,0.027646493166685104,0.972353458404541,0.972353458404541,False,FAKE_TO_REAL,11
Austin has more lobbyists working for it than any other municipality in Texas.,mostly-true,REAL,1,0,FAKE,0.6485373377799988,0.3514626622200012,0.6485373377799988,False,REAL_TO_FAKE,17
"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",true,REAL,1,0,FAKE,0.9119913578033447,0.08800865709781647,0.9119913578033447,False,REAL_TO_FAKE,18
We already pay the highest electricity prices in the country here in New England.,half-true,FAKE,0,1,REAL,0.0389702133834362,0.9610297679901123,0.9610297679901123,False,FAKE_TO_REAL,17
We're going to have more troops (in Afghanistan) . . . than the Russians had.,barely-true,FAKE,0,1,REAL,0.4305732250213623,0.5694267153739929,0.5694267153739929,False,FAKE_TO_REAL,22
"More than 250 (voter registration) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.",half-true,FAKE,0,1,REAL,0.16257351636886597,0.837426483631134,0.837426483631134,False,FAKE_TO_REAL,30
Rhode Islands unemployment insurance system is the most expensive such system in the country.,false,FAKE,0,1,REAL,0.03386841341853142,0.9661316275596619,0.9661316275596619,False,FAKE_TO_REAL,17
"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",true,REAL,1,0,FAKE,0.9249440431594849,0.07505598664283752,0.9249440431594849,False,REAL_TO_FAKE,37
"Obama worked with ""Sen. Dick Lugar, a Republican, to help lock down loose nuclear weapons.""",true,REAL,1,0,FAKE,0.7808099389076233,0.2191900759935379,0.7808099389076233,False,REAL_TO_FAKE,24
"The United States spends $2.2 billion on free cell phones, $27 million on Moroccan pottery classes and pays for the travel expenses for the watermelon queen in Alabama.",half-true,FAKE,0,1,REAL,0.48184382915496826,0.518156111240387,0.518156111240387,False,FAKE_TO_REAL,38
The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria.,pants-fire,FAKE,0,1,REAL,0.19456429779529572,0.8054357171058655,0.8054357171058655,False,FAKE_TO_REAL,33
"Onion Creeks highest flow rate on a recent night of flooding was 120,000 cubic feet per second, which is nearly double the average flow rate of Niagara Falls.",barely-true,FAKE,0,1,REAL,0.169985830783844,0.830014169216156,0.830014169216156,False,FAKE_TO_REAL,34
"As governor of Florida, I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent.",half-true,FAKE,0,1,REAL,0.2745570242404938,0.7254430055618286,0.7254430055618286,False,FAKE_TO_REAL,27
"Says last year 13 million (health insurance) rebates went out, in all 50 states. Another 8.5 (million) rebates are being sent out this summer, averaging around 100 bucks each.",half-true,FAKE,0,1,REAL,0.3548218607902527,0.6451781988143921,0.6451781988143921,False,FAKE_TO_REAL,45
Says his state budget will provide an increase in state funding for the 2011-12 school year.,mostly-true,REAL,1,0,FAKE,0.6181095242500305,0.3818904757499695,0.6181095242500305,False,REAL_TO_FAKE,21
"Says the estate tax, in many cases, forces family farmers and small businesses owners to sell their holdings.",false,FAKE,0,1,REAL,0.31082606315612793,0.6891738772392273,0.6891738772392273,False,FAKE_TO_REAL,23
Sayvideo shows massive alligator strolling across Florida golf course.,true,REAL,1,0,FAKE,0.9861889481544495,0.013811060227453709,0.9861889481544495,False,REAL_TO_FAKE,15
"If you look at the number of illegal immigrants coming into the country, it is net zero. Its been that way now for almost two years.",true,REAL,1,0,FAKE,0.5198740363121033,0.48012596368789673,0.5198740363121033,False,REAL_TO_FAKE,31
"From now on, we have to pay the Russians $50 million an astronaut to send Americans to the space station",mostly-true,REAL,1,0,FAKE,0.7845460772514343,0.21545395255088806,0.7845460772514343,False,REAL_TO_FAKE,24
"In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.",false,FAKE,0,1,REAL,0.23307980597019196,0.7669201493263245,0.7669201493263245,False,FAKE_TO_REAL,26
"Says Tom Ganley has been sued over 400 times, for fraud, discrimination and more, and a judge called Tom Ganleys business practices deceptive and unconscionable.",mostly-true,REAL,1,0,FAKE,0.6452547907829285,0.35474517941474915,0.6452547907829285,False,REAL_TO_FAKE,39
There is a precedent for not nominating someone to the U.S. Supreme Court in the middle of a presidential election.,false,FAKE,0,1,REAL,0.36621394753456116,0.633786141872406,0.633786141872406,False,FAKE_TO_REAL,27
"The war on drugs led to a 500 percent increase in incarceration in our country, disproportionately affecting poor and disproportionately affecting minorities.",mostly-true,REAL,1,0,FAKE,0.9384504556655884,0.061549484729766846,0.9384504556655884,False,REAL_TO_FAKE,38
Charlie Crist allowed college tuition to increase up to 15 percent every year.,mostly-true,REAL,1,0,FAKE,0.8700791597366333,0.1299208551645279,0.8700791597366333,False,REAL_TO_FAKE,17
"Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school no matter where they live or how much money their parents make.",true,REAL,1,0,FAKE,0.8486233353614807,0.15137667953968048,0.8486233353614807,False,REAL_TO_FAKE,40
Says the main Central Texas food bank is delivering 50 percent more food to the poor than three years ago.,mostly-true,REAL,1,0,FAKE,0.9813631772994995,0.01863682270050049,0.9813631772994995,False,REAL_TO_FAKE,23
"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",false,FAKE,0,1,REAL,0.2320108264684677,0.7679891586303711,0.7679891586303711,False,FAKE_TO_REAL,23
"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.""",true,REAL,1,0,FAKE,0.9426593780517578,0.057340607047080994,0.9426593780517578,False,REAL_TO_FAKE,36
"Obama ""won health care for 150,000 people.""",true,REAL,1,0,FAKE,0.9808365106582642,0.019163500517606735,0.9808365106582642,False,REAL_TO_FAKE,14
"The CBO says that if you raise the minimum wage to $10.10 an hour, half a million people would lose their jobs.",mostly-true,REAL,1,0,FAKE,0.9204254746437073,0.07957454025745392,0.9204254746437073,False,REAL_TO_FAKE,30
State governments have little ability to stimulate job growth in the short run.,true,REAL,1,0,FAKE,0.9040034413337708,0.09599658101797104,0.9040034413337708,False,REAL_TO_FAKE,16
Says the U.S. federal income tax rate was 0 percent until 1913.,half-true,FAKE,0,1,REAL,0.03875471279025078,0.9612452983856201,0.9612452983856201,False,FAKE_TO_REAL,18
"Sarah Palin ""already has more executive experience"" than Barack Obama and Joe Biden ""combined.""",true,REAL,1,0,FAKE,0.9139439463615417,0.08605603873729706,0.9139439463615417,False,REAL_TO_FAKE,23
"Two months ago, Donald Trump said that ISIS was not our fight.",mostly-true,REAL,1,0,FAKE,0.7392158508300781,0.26078417897224426,0.7392158508300781,False,REAL_TO_FAKE,16
You had supported John McCain's military strategies pretty adamantly until this race.,barely-true,FAKE,0,1,REAL,0.058550089597702026,0.9414499402046204,0.9414499402046204,False,FAKE_TO_REAL,18
$29 is what families on SNAP (i.e. food stamps) have to live on for a week.,barely-true,FAKE,0,1,REAL,0.25286272168159485,0.7471373081207275,0.7471373081207275,False,FAKE_TO_REAL,25
"The Medford Water Commission was fined $279,000 for dumping plain drinking water into a stream.",half-true,FAKE,0,1,REAL,0.3449181616306305,0.6550818085670471,0.6550818085670471,False,FAKE_TO_REAL,22
Nothing in the Constitution explicitly guarantees our right to vote.,true,REAL,1,0,FAKE,0.5735249519348145,0.42647507786750793,0.5735249519348145,False,REAL_TO_FAKE,13
Says Gov. Scott Walkers proposed state budget contained 110 pages of errors -- an unusually high number -- and millions of dollars worth of mistakes that were corrected with a follow-up document.,mostly-true,REAL,1,0,FAKE,0.7673144340515137,0.23268555104732513,0.7673144340515137,False,REAL_TO_FAKE,40
Takes credit for substantially reducing the size of the state workforce.,mostly-true,REAL,1,0,FAKE,0.9390541315078735,0.06094583496451378,0.9390541315078735,False,REAL_TO_FAKE,14
"If you look at most of the polls, this is a margin-of-error race on Fourth of July between Mitt Romney and the president.",true,REAL,1,0,FAKE,0.8760372996330261,0.12396272271871567,0.8760372996330261,False,REAL_TO_FAKE,32
Rooting for the Red Sox is like rooting for the drug companies.,true,REAL,1,0,FAKE,0.9130492210388184,0.08695073425769806,0.9130492210388184,False,REAL_TO_FAKE,17
