statement,true_label_id,true_label,predicted_label_id,predicted_label,prob_fake,prob_real,confidence,correct,token_length,error_type,length_group
"the united states spends $ 2. 2 billion on free cell phones, $ 27 million on moroccan pottery classes and pays for the travel expenses for the watermelon queen in alabama.",0,FAKE,1,REAL,0.48184383,0.5181561,0.5181561,False,38,FAKE_TO_REAL,33-64
the united states is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as pakistan or afghanistan or syria.,0,FAKE,1,REAL,0.1945643,0.8054357,0.8054357,False,33,FAKE_TO_REAL,33-64
"onion creeks highest flow rate on a recent night of flooding was 120, 000 cubic feet per second, which is nearly double the average flow rate of niagara falls.",0,FAKE,1,REAL,0.16998583,0.83001417,0.83001417,False,34,FAKE_TO_REAL,33-64
"as governor of florida, i used a combination of strategies to help reduce heroin use among youth in florida by approximately 50 percent.",0,FAKE,1,REAL,0.27455702,0.725443,0.725443,False,27,FAKE_TO_REAL,17-32
"says last year 13 million ( health insurance ) rebates went out, in all 50 states. another 8. 5 ( million ) rebates are being sent out this summer, averaging around 100 bucks each.",0,FAKE,1,REAL,0.35482186,0.6451782,0.6451782,False,45,FAKE_TO_REAL,33-64
"says the estate tax, in many cases, forces family farmers and small businesses owners to sell their holdings.",0,FAKE,1,REAL,0.31082606,0.6891739,0.6891739,False,23,FAKE_TO_REAL,17-32
"in 2011, alabama and massachusetts passed legislation allowing non - citizens who are legal residents to vote in state and local elections.",0,FAKE,1,REAL,0.2330798,0.76692015,0.76692015,False,26,FAKE_TO_REAL,17-32
there is a precedent for not nominating someone to the u. s. supreme court in the middle of a presidential election.,0,FAKE,1,REAL,0.36621395,0.63378614,0.63378614,False,27,FAKE_TO_REAL,17-32
"mccain "" still thinks it's okay when women don't earn equal pay for equal work. """,0,FAKE,1,REAL,0.23201083,0.76798916,0.76798916,False,23,FAKE_TO_REAL,17-32
says the u. s. federal income tax rate was 0 percent until 1913.,0,FAKE,1,REAL,0.038754713,0.9612453,0.9612453,False,18,FAKE_TO_REAL,17-32
you had supported john mccain's military strategies pretty adamantly until this race.,0,FAKE,1,REAL,0.05855009,0.94144994,0.94144994,False,18,FAKE_TO_REAL,17-32
$ 29 is what families on snap ( i. e. food stamps ) have to live on for a week.,0,FAKE,1,REAL,0.25286272,0.7471373,0.7471373,False,25,FAKE_TO_REAL,17-32
"the medford water commission was fined $ 279, 000 for dumping plain drinking water into a stream.",0,FAKE,1,REAL,0.34491816,0.6550818,0.6550818,False,22,FAKE_TO_REAL,17-32
a [ bank ] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.,0,FAKE,1,REAL,0.303504,0.696496,0.696496,False,30,FAKE_TO_REAL,17-32
"in the 2012 election, there were more votes cast than registered voters in st. lucie county, and palm beach county had 141 percent turnout.",0,FAKE,1,REAL,0.039798886,0.96020114,0.96020114,False,30,FAKE_TO_REAL,17-32
"john kasich says he won, despite 12 visits by a president, somewhere between $ 45 ( million ) and $ 50 million ( spent against him, ) 500 paid volunteers in here calling me every name in the book, former presidents, first ladies and god - knows - who - else.",0,FAKE,1,REAL,0.48866183,0.5113382,0.5113382,False,61,FAKE_TO_REAL,33-64
"when it comes to transportation funds, georgians spend more in taxes and on red tape than they get back from the federal government.",0,FAKE,1,REAL,0.2798087,0.7201913,0.7201913,False,28,FAKE_TO_REAL,17-32
says mitt romney supports cap and trade.,0,FAKE,1,REAL,0.09909693,0.9009031,0.9009031,False,11,FAKE_TO_REAL,1-16
"while 9, 000 state employees were added to the states payroll, oregons revenue forecasts dropped by more than $ 4 billion.",0,FAKE,1,REAL,0.10339664,0.8966033,0.8966033,False,28,FAKE_TO_REAL,17-32
john mccain fought to rein in fannie and freddie... but democrats blocked the reforms.,0,FAKE,1,REAL,0.26703116,0.7329688,0.7329688,False,21,FAKE_TO_REAL,17-32
"says mccain "" supported george bush's policies 95 percent of the time. """,0,FAKE,1,REAL,0.030480554,0.96951944,0.96951944,False,18,FAKE_TO_REAL,17-32
the immigration bill has a specific provision that says that secretary napolitano does not have to build any fence if she chooses not to.,0,FAKE,1,REAL,0.27769464,0.72230536,0.72230536,False,29,FAKE_TO_REAL,17-32
says donald trump publicly invited putin to hack into americans ( emails ).,0,FAKE,1,REAL,0.32297388,0.6770261,0.6770261,False,16,FAKE_TO_REAL,1-16
the increase in the current state budget was greater than the inflation rate and the rate of population growth in georgia.,0,FAKE,1,REAL,0.1160068,0.88399327,0.88399327,False,24,FAKE_TO_REAL,17-32
six thousand people have sought addiction treatment through expanded medicaid.,0,FAKE,1,REAL,0.0411452,0.95885473,0.95885473,False,15,FAKE_TO_REAL,1-16
"of those 850, 000 ( new texas ) jobs, most were public - sector jobs and minimum - wage jobs.",0,FAKE,1,REAL,0.15064949,0.8493505,0.8493505,False,25,FAKE_TO_REAL,17-32
the problem with raising tax rates on the wealthiest americans is that more than half of them are small business owners.,0,FAKE,1,REAL,0.09563233,0.9043677,0.9043677,False,24,FAKE_TO_REAL,17-32
about 78 to 81 house democrats are members of the communist party.... its called the congressional progressive caucus.,0,FAKE,1,REAL,0.039324317,0.9606757,0.9606757,False,25,FAKE_TO_REAL,17-32
a proposal to reduce the deficit involved large tax cuts for the top bracket.,0,FAKE,1,REAL,0.21794271,0.78205734,0.78205734,False,17,FAKE_TO_REAL,17-32
says mitch mcconnell voted two times against the violence against women act.,0,FAKE,1,REAL,0.097844414,0.9021556,0.9021556,False,15,FAKE_TO_REAL,1-16
wisconsin law says all recall petition signers must sign in the presence of another person.,0,FAKE,1,REAL,0.19073957,0.8092605,0.8092605,False,19,FAKE_TO_REAL,17-32
"in just a few years in office, sen. obama has accumulated the most liberal voting record in the senate.",0,FAKE,1,REAL,0.3388773,0.66112274,0.66112274,False,24,FAKE_TO_REAL,17-32
"based on current trends, 15. 5 million girls will be married in the next 16 years as children.",0,FAKE,1,REAL,0.09509525,0.9049047,0.9049047,False,23,FAKE_TO_REAL,17-32
david perdue has never voted in a republican primary until his name was on the ballot.,0,FAKE,1,REAL,0.40872994,0.5912701,0.5912701,False,20,FAKE_TO_REAL,17-32
"if you don't count illegal aliens, people who qualify for other insurance, and people who make more than $ 75, 000 a year, it leaves about 15 million people who are uninsured.",0,FAKE,1,REAL,0.031207861,0.9687921,0.9687921,False,43,FAKE_TO_REAL,33-64
says jimrenacci has consistently voted for loopholes that encourage outsourcing of our jobs.,0,FAKE,1,REAL,0.24820107,0.75179887,0.75179887,False,22,FAKE_TO_REAL,17-32
"a small business receiving a federal tax credit "" to provide health care for its employees... would be barred under the stupak amendment from allowing their employees to use... the health care that they offer them for abortion. """,0,FAKE,1,REAL,0.3657153,0.6342847,0.6342847,False,50,FAKE_TO_REAL,33-64
donald trump says that nato is obsolete and that we need to get rid of nato...,0,FAKE,1,REAL,0.08776331,0.91223663,0.91223663,False,21,FAKE_TO_REAL,17-32
"a proposed regional transportation tax will last a minimum of 10 years, and has been approved to last longer.",0,FAKE,1,REAL,0.15704757,0.84295243,0.84295243,False,23,FAKE_TO_REAL,17-32
says our 12 month job increase was the sixth highest in the nation.,0,FAKE,1,REAL,0.41329473,0.58670527,0.58670527,False,16,FAKE_TO_REAL,1-16
"says i am happy to decline pers so that the county can save over $ 68, 000 over a four year term that would have been paid on my behalf.",0,FAKE,1,REAL,0.12106337,0.8789366,0.8789366,False,35,FAKE_TO_REAL,33-64
says chris dudley thinks oregons minimum wage is too high.,0,FAKE,1,REAL,0.43715882,0.56284124,0.56284124,False,14,FAKE_TO_REAL,1-16
over half the people on disability are either anxious or their back hurts.,0,FAKE,1,REAL,0.06466404,0.93533593,0.93533593,False,16,FAKE_TO_REAL,1-16
says gov. mike pence and rep. mike coffman take the same positions on a number of things... coffman and pence oppose equal rights for lgbt americans.,0,FAKE,1,REAL,0.2687132,0.73128676,0.73128676,False,40,FAKE_TO_REAL,33-64
"all of floridas four - year state colleges now offer bachelors degrees for only $ 10, 000.",0,FAKE,1,REAL,0.1679222,0.8320778,0.8320778,False,23,FAKE_TO_REAL,17-32
"federal, state and local governments have subsidized the production of the volt to the tune of estimates between $ 50, 000 and $ 250, 000 per vehicle sold.",0,FAKE,1,REAL,0.21388157,0.7861184,0.7861184,False,38,FAKE_TO_REAL,33-64
"medicare only has about 50 percent of it paid for by either premiums or payroll taxes, and the rest is deficit spending... or debt spending.",0,FAKE,1,REAL,0.13986103,0.8601389,0.8601389,False,33,FAKE_TO_REAL,33-64
district 22 includes about 80 % of the district i have represented since 2010. district 20 includes about 20 % of the area i have represented since 2010.,0,FAKE,1,REAL,0.060028482,0.93997157,0.93997157,False,32,FAKE_TO_REAL,17-32
we now work the longest hours of any people around the world.,0,FAKE,1,REAL,0.42415434,0.57584566,0.57584566,False,15,FAKE_TO_REAL,1-16
"we haven't built a refinery, i think, in 30 years.",0,FAKE,1,REAL,0.15079036,0.8492096,0.8492096,False,17,FAKE_TO_REAL,17-32
the republican national convention is a super bowl times four.,0,FAKE,1,REAL,0.026941292,0.97305876,0.97305876,False,13,FAKE_TO_REAL,1-16
"john mccain "" has threatened extinction for north korea and sung songs about bombing iran. """,0,FAKE,1,REAL,0.1390462,0.8609538,0.8609538,False,19,FAKE_TO_REAL,17-32
22 countries invaded by the u. s. in 20 years.,0,FAKE,1,REAL,0.053905074,0.9460949,0.9460949,False,15,FAKE_TO_REAL,1-16
says u. s. senate opponent tommy thompson favors raising taxes on small businesses.,0,FAKE,1,REAL,0.4538145,0.54618543,0.54618543,False,18,FAKE_TO_REAL,17-32
says state senate candidate monk elmer voted to exceed the ( school district property tax ) spending caps.,0,FAKE,1,REAL,0.17387617,0.8261239,0.8261239,False,21,FAKE_TO_REAL,17-32
"says texas has so few gas - pump inspectors in the field, the hebs of this state, the brookshires of this state, theyre calibrating their own gas pumps. the ( texas department of agriculture ) just sends them the stickers and they calibrate them.",0,FAKE,1,REAL,0.42410088,0.5758991,0.5758991,False,60,FAKE_TO_REAL,33-64
senator obama has voted 94 times to either increase your taxes or against tax cuts.,0,FAKE,1,REAL,0.2275069,0.7724931,0.7724931,False,18,FAKE_TO_REAL,17-32
lorain is the poorest urban school district in the state of ohio.,0,FAKE,1,REAL,0.07176183,0.92823815,0.92823815,False,17,FAKE_TO_REAL,17-32
narragansett bay waters are getting warmer - - 4 degrees fahrenheit warmer in the winter since the 1960s.,0,FAKE,1,REAL,0.03287241,0.96712756,0.96712756,False,27,FAKE_TO_REAL,17-32
one in five american households have nobody under the same roof thats got a job.,0,FAKE,1,REAL,0.0215731,0.97842693,0.97842693,False,19,FAKE_TO_REAL,17-32
only three in 10 young americans under 30 - - 30 percent under 30 - - have full - time work.,0,FAKE,1,REAL,0.36404753,0.6359524,0.6359524,False,24,FAKE_TO_REAL,17-32
and weve constantly been the lowest unemployed county in the state.,0,FAKE,1,REAL,0.15209986,0.8479001,0.8479001,False,15,FAKE_TO_REAL,1-16
"under the house republican budget, if these cuts were to be spread out evenly the year after next, nearly 10 million college students would see their financial aid cut by an average of more than $ 1, 000 each.",0,FAKE,1,REAL,0.16050085,0.8394992,0.8394992,False,45,FAKE_TO_REAL,33-64
"the nonpartisan cbo, congressional budget office, has said that the no. 1 policy decision that brought us to the need to prevent the nation from defaulting on our debt for the first time in history were the bush tax cuts in 2001 and 2003.",0,FAKE,1,REAL,0.3597523,0.6402477,0.6402477,False,53,FAKE_TO_REAL,33-64
the united states is the only developed country in the world that has not cut its corporate tax rate.,0,FAKE,1,REAL,0.062604226,0.9373958,0.9373958,False,22,FAKE_TO_REAL,17-32
says donald trump wants to replace obamacare with a single - payer system.,0,FAKE,1,REAL,0.48302937,0.5169706,0.5169706,False,18,FAKE_TO_REAL,17-32
every ( u. s. supreme court ) nominee since 1875 has received a nomination hearing.,0,FAKE,1,REAL,0.06140774,0.93859226,0.93859226,False,20,FAKE_TO_REAL,17-32
says he never wanted to raise the debt ceiling.,0,FAKE,1,REAL,0.3908502,0.6091499,0.6091499,False,12,FAKE_TO_REAL,1-16
virginia ranked near the bottom of the nation 50 years ago in per capita income but is in the top 10 today. it had a very low rate of higher education attainment but is now above the national average.,0,FAKE,1,REAL,0.04076677,0.9592333,0.9592333,False,44,FAKE_TO_REAL,33-64
says ( clinton ) called president assad a reformer. she called assad a different kind of leader.,0,FAKE,1,REAL,0.34326816,0.65673184,0.65673184,False,23,FAKE_TO_REAL,17-32
"as a state rep, i was considered the fourth - most conservative in the legislature. states rick - green republican 0 1 1 0 0 a speech 2552. json mostly - true rand paul wants us to pay $ 2, 000 just to get medicare. health - care, medicare, message - machine jack - conway kentucky attorney general kentucky democrat 0 1 0 2 0 a campaign commercial 9353. json mostly - true says hillary clinton opposed an individual mandate and favored an employer mandate back in 1993. health - care, public - health bobby - jindal governor of louisiana louisiana republican 0 1 4 4 0 an op - ed",0,FAKE,1,REAL,0.26204,0.73796,0.73796,False,128,FAKE_TO_REAL,65-128
georgias hope scholarship is still the richest scholarship program in america.,0,FAKE,1,REAL,0.07506704,0.92493296,0.92493296,False,15,FAKE_TO_REAL,1-16
were trailing every other state in the midwest in terms of job creation since january of 2011.,0,FAKE,1,REAL,0.08096335,0.9190366,0.9190366,False,20,FAKE_TO_REAL,17-32
the pope and donald trump and tammy baldwin all agree on eliminating the carried - interest tax break.,0,FAKE,1,REAL,0.41886407,0.5811359,0.5811359,False,21,FAKE_TO_REAL,17-32
agriculture has always required a significant workforce from abroad.,0,FAKE,1,REAL,0.39731145,0.6026886,0.6026886,False,12,FAKE_TO_REAL,1-16
says hjm 20 was the only bill not assigned to a house committee.,0,FAKE,1,REAL,0.3363963,0.6636037,0.6636037,False,17,FAKE_TO_REAL,17-32
theres a loophole where you can sell guns without a background check 40 percent of guns are sold that way at gun shows and over the internet.,0,FAKE,1,REAL,0.48794326,0.5120567,0.5120567,False,32,FAKE_TO_REAL,17-32
the minimum wage has risen $ 2. 35 in the last two years. thats 31 percent.,0,FAKE,1,REAL,0.42742935,0.5725707,0.5725707,False,22,FAKE_TO_REAL,17-32
"weve seen 115, 000 jobs created in the american auto industry since gm and chrysler emerged from bankruptcy.",0,FAKE,1,REAL,0.015864827,0.9841352,0.9841352,False,23,FAKE_TO_REAL,17-32
the music industry is the biggest export from africa after oil and gas.,0,FAKE,1,REAL,0.14849184,0.85150814,0.85150814,False,16,FAKE_TO_REAL,1-16
congressman joe heck has ( voted ) 62 % of the time with nancy pelosi and the democrats on a variety of important issues.,0,FAKE,1,REAL,0.1646663,0.8353337,0.8353337,False,29,FAKE_TO_REAL,17-32
"chile ranks third internationally in economic freedom, while the u. s. ranks 17th.",0,FAKE,1,REAL,0.45771715,0.5422828,0.5422828,False,19,FAKE_TO_REAL,17-32
bill mccollum said tax cuts don't work.,0,FAKE,1,REAL,0.4085229,0.5914771,0.5914771,False,14,FAKE_TO_REAL,1-16
says his texas election fraud investigations have resulted in 50 convictions.,0,FAKE,1,REAL,0.3865282,0.6134718,0.6134718,False,14,FAKE_TO_REAL,1-16
miami - dade county is the no. 1 donor county in the state.,0,FAKE,1,REAL,0.18728784,0.8127122,0.8127122,False,17,FAKE_TO_REAL,17-32
"since president barack obama took office, you have 1, 700 employees just at the department of transportation earning over $ 170, 000.",0,FAKE,1,REAL,0.3459965,0.65400356,0.65400356,False,28,FAKE_TO_REAL,17-32
"even with recent changes, the average hourly wage at general motors is still $ 75 an hour.",0,FAKE,1,REAL,0.096083954,0.9039161,0.9039161,False,21,FAKE_TO_REAL,17-32
u. s. house opponent paul ryan supports cutting funding for veterans by 24 percent.,0,FAKE,1,REAL,0.2743178,0.72568226,0.72568226,False,19,FAKE_TO_REAL,17-32
"congress includes 36 people accused of spousal abuse, 84 arrested for drunk driving in the past year, 71 with terrible creditand more.",0,FAKE,1,REAL,0.351586,0.64841396,0.64841396,False,30,FAKE_TO_REAL,17-32
says the initial portland plastic bag ban represented only a modest share of total single - use checkout bag use.,0,FAKE,1,REAL,0.26402763,0.7359723,0.7359723,False,24,FAKE_TO_REAL,17-32
"i remember one of [ curt schillings ] teammates said he painted his sock, the bloody sock.",0,FAKE,1,REAL,0.34111544,0.65888464,0.65888464,False,23,FAKE_TO_REAL,17-32
not one dime gets added to the deficit because of social security.,0,FAKE,1,REAL,0.11439833,0.8856017,0.8856017,False,15,FAKE_TO_REAL,1-16
canada sets aside 36 percent of their visas for people with skills they think their country needs. we set aside 6 percent.,0,FAKE,1,REAL,0.033463128,0.9665368,0.9665368,False,26,FAKE_TO_REAL,17-32
"there are 60, 000 fewer jobs today in this state than we had in 2008.",0,FAKE,1,REAL,0.044787604,0.95521235,0.95521235,False,19,FAKE_TO_REAL,17-32
"chained cpi would save $ 1 trillion in the second decade off the federal budget debt, a report shows.",0,FAKE,1,REAL,0.25033566,0.74966437,0.74966437,False,23,FAKE_TO_REAL,17-32
theres more murders with hammers last year than... shotguns and pistols and ak - 47s.,0,FAKE,1,REAL,0.1792745,0.8207255,0.8207255,False,25,FAKE_TO_REAL,17-32
general motors is the largest corporation in the world again.,0,FAKE,1,REAL,0.30136868,0.6986313,0.6986313,False,13,FAKE_TO_REAL,1-16
"says they said it was impossible to balance a budget at the same time, with an $ 11 billion deficit and we did it.",0,FAKE,1,REAL,0.36784592,0.63215405,0.63215405,False,28,FAKE_TO_REAL,17-32
says bruce starr broke the law by letting lobbyists wine and dine him in maui.,0,FAKE,1,REAL,0.47971296,0.52028704,0.52028704,False,20,FAKE_TO_REAL,17-32
john mccain is right on that one. the line - item veto is the best tool the president has to rein in excessive spending.,0,FAKE,1,REAL,0.2639792,0.7360208,0.7360208,False,28,FAKE_TO_REAL,17-32
